ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
269.0,-148.54167855,64.79167185
254.0,-148.12501185,64.79167185
281.0,-146.87501175,64.79167185
371.0,-153.12501225,64.37500515
339.0,-153.12501225,63.95833845
246.0,121.45834305,63.95833845
287.0,125.20834335,63.95833845
-9999.0,127.29167685,63.95833845
489.0,-153.54167895,63.54167175
363.0,-137.29167765,63.54167175
223.0,-134.79167745,63.54167175
258.0,-134.37501075,63.54167175
212.0,-133.95834405,63.54167175
271.0,-133.54167735,63.54167175
320.0,119.37500955,63.54167175
260.0,119.79167625,63.54167175
279.0,-137.29167765,63.12500505
289.0,-133.95834405,63.12500505
315.0,-132.70834395,63.12500505
338.0,93.95834085,63.12500505
349.0,94.37500755,63.12500505
344.0,95.62500765,63.12500505
369.0,96.04167435,63.12500505
372.0,117.70834275,63.12500505
351.0,118.12500945,63.12500505
326.0,119.37500955,63.12500505
206.0,119.79167625,63.12500505
210.0,120.62500965,63.12500505
230.0,130.62501045,63.12500505
321.0,-150.20834535,62.70833835
437.0,-148.12501185,62.70833835
365.0,-138.54167775,62.70833835
325.0,86.04167355,62.70833835
329.0,86.45834025,62.70833835
345.0,95.62500765,62.70833835
307.0,96.04167435,62.70833835
298.0,118.12500945,62.70833835
222.0,118.54167615,62.70833835
177.0,119.37500955,62.70833835
190.0,121.87500975,62.70833835
417.0,129.37501035,62.70833835
287.0,130.62501045,62.70833835
308.0,-150.20834535,62.29167165
251.0,-134.79167745,62.29167165
287.0,-133.54167735,62.29167165
-9999.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
326.0,85.62500685,62.29167165
290.0,93.12500745,62.29167165
256.0,93.54167415,62.29167165
303.0,93.95834085,62.29167165
324.0,94.37500755,62.29167165
282.0,96.04167435,62.29167165
366.0,96.87500775,62.29167165
268.0,113.95834245,62.29167165
238.0,114.37500915,62.29167165
406.0,114.79167585,62.29167165
-9999.0,117.70834275,62.29167165
173.0,118.12500945,62.29167165
332.0,118.54167615,62.29167165
218.0,119.79167625,62.29167165
255.0,126.04167675,62.29167165
244.0,126.45834345,62.29167165
239.0,126.87501015,62.29167165
340.0,128.54167695,62.29167165
351.0,129.37501035,62.29167165
332.0,129.79167705,62.29167165
335.0,130.62501045,62.29167165
249.0,131.04167715,62.29167165
377.0,-151.04167875,61.87500495
291.0,-135.62501085,61.87500495
227.0,-135.20834415,61.87500495
249.0,-134.37501075,61.87500495
353.0,-133.95834405,61.87500495
-9999.0,-112.70834235,61.87500495
277.0,84.79167345,61.87500495
258.0,93.12500745,61.87500495
316.0,93.54167415,61.87500495
270.0,93.95834085,61.87500495
293.0,94.37500755,61.87500495
361.0,96.04167435,61.87500495
322.0,96.87500775,61.87500495
245.0,113.12500905,61.87500495
453.0,113.54167575,61.87500495
352.0,113.95834245,61.87500495
-9999.0,117.70834275,61.87500495
362.0,119.79167625,61.87500495
217.0,120.62500965,61.87500495
272.0,121.87500975,61.87500495
207.0,125.62501005,61.87500495
294.0,126.87501015,61.87500495
475.0,129.37501035,61.87500495
354.0,-151.45834545,61.45833825
347.0,-151.04167875,61.45833825
319.0,-150.62501205,61.45833825
538.0,-150.20834535,61.45833825
178.0,-134.37501075,61.45833825
277.0,-133.12501065,61.45833825
296.0,87.29167365,61.45833825
324.0,95.62500765,61.45833825
299.0,96.04167435,61.45833825
356.0,113.54167575,61.45833825
354.0,113.95834245,61.45833825
184.0,121.04167635,61.45833825
275.0,126.04167675,61.45833825
274.0,126.45834345,61.45833825
296.0,130.20834375,61.45833825
-9999.0,-151.87501215,61.04167155
403.0,-151.45834545,61.04167155
-9999.0,-151.04167875,61.04167155
179.0,-136.45834425,61.04167155
270.0,-135.62501085,61.04167155
219.0,-134.79167745,61.04167155
152.0,-134.37501075,61.04167155
427.0,83.95834005,61.04167155
356.0,84.37500675,61.04167155
366.0,84.79167345,61.04167155
235.0,86.87500695,61.04167155
274.0,91.45834065,61.04167155
210.0,91.87500735,61.04167155
277.0,93.54167415,61.04167155
278.0,93.95834085,61.04167155
250.0,94.37500755,61.04167155
304.0,113.54167575,61.04167155
219.0,113.95834245,61.04167155
297.0,116.45834265,61.04167155
213.0,116.87500935,61.04167155
289.0,117.29167605,61.04167155
191.0,118.12500945,61.04167155
333.0,118.54167615,61.04167155
273.0,118.95834285,61.04167155
221.0,119.37500955,61.04167155
286.0,119.79167625,61.04167155
227.0,120.20834295,61.04167155
335.0,120.62500965,61.04167155
-9999.0,-166.87501335,60.62500485
-9999.0,-151.87501215,60.62500485
-9999.0,-151.45834545,60.62500485
161.0,-133.95834405,60.62500485
199.0,-133.12501065,60.62500485
214.0,-130.62501045,60.62500485
382.0,83.12500665,60.62500485
369.0,83.95834005,60.62500485
351.0,84.37500675,60.62500485
304.0,91.04167395,60.62500485
289.0,91.87500735,60.62500485
272.0,93.12500745,60.62500485
252.0,93.95834085,60.62500485
297.0,113.54167575,60.62500485
258.0,113.95834245,60.62500485
227.0,116.04167595,60.62500485
218.0,118.54167615,60.62500485
-9999.0,119.37500955,60.62500485
