ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
128.0,-148.54167855,64.79167185
120.0,-148.12501185,64.79167185
146.0,-146.87501175,64.79167185
122.0,-153.12501225,64.37500515
147.0,-153.12501225,63.95833845
107.0,121.45834305,63.95833845
296.0,125.20834335,63.95833845
-9999.0,127.29167685,63.95833845
248.0,-153.54167895,63.54167175
137.0,-137.29167765,63.54167175
89.0,-134.79167745,63.54167175
73.0,-134.37501075,63.54167175
122.0,-133.95834405,63.54167175
68.0,-133.54167735,63.54167175
205.0,119.37500955,63.54167175
64.0,119.79167625,63.54167175
69.0,-137.29167765,63.12500505
62.0,-133.95834405,63.12500505
52.0,-132.70834395,63.12500505
129.0,93.95834085,63.12500505
149.0,94.37500755,63.12500505
96.0,95.62500765,63.12500505
121.0,96.04167435,63.12500505
73.0,117.70834275,63.12500505
196.0,118.12500945,63.12500505
159.0,119.37500955,63.12500505
45.0,119.79167625,63.12500505
69.0,120.62500965,63.12500505
111.0,130.62501045,63.12500505
95.0,-150.20834535,62.70833835
21.0,-148.12501185,62.70833835
66.0,-138.54167775,62.70833835
105.0,86.04167355,62.70833835
237.0,86.45834025,62.70833835
82.0,95.62500765,62.70833835
64.0,96.04167435,62.70833835
51.0,118.12500945,62.70833835
33.0,118.54167615,62.70833835
158.0,119.37500955,62.70833835
105.0,121.87500975,62.70833835
104.0,129.37501035,62.70833835
98.0,130.62501045,62.70833835
96.0,-150.20834535,62.29167165
35.0,-134.79167745,62.29167165
80.0,-133.54167735,62.29167165
-9999.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
88.0,85.62500685,62.29167165
95.0,93.12500745,62.29167165
43.0,93.54167415,62.29167165
46.0,93.95834085,62.29167165
64.0,94.37500755,62.29167165
73.0,96.04167435,62.29167165
89.0,96.87500775,62.29167165
148.0,113.95834245,62.29167165
91.0,114.37500915,62.29167165
145.0,114.79167585,62.29167165
269.0,117.70834275,62.29167165
41.0,118.12500945,62.29167165
129.0,118.54167615,62.29167165
124.0,119.79167625,62.29167165
107.0,126.04167675,62.29167165
136.0,126.45834345,62.29167165
82.0,126.87501015,62.29167165
173.0,128.54167695,62.29167165
94.0,129.37501035,62.29167165
85.0,129.79167705,62.29167165
146.0,130.62501045,62.29167165
93.0,131.04167715,62.29167165
138.0,-151.04167875,61.87500495
74.0,-135.62501085,61.87500495
68.0,-135.20834415,61.87500495
46.0,-134.37501075,61.87500495
37.0,-133.95834405,61.87500495
413.0,-112.70834235,61.87500495
87.0,84.79167345,61.87500495
77.0,93.12500745,61.87500495
53.0,93.54167415,61.87500495
37.0,93.95834085,61.87500495
53.0,94.37500755,61.87500495
148.0,96.04167435,61.87500495
57.0,96.87500775,61.87500495
127.0,113.12500905,61.87500495
152.0,113.54167575,61.87500495
208.0,113.95834245,61.87500495
81.0,117.70834275,61.87500495
96.0,119.79167625,61.87500495
59.0,120.62500965,61.87500495
101.0,121.87500975,61.87500495
141.0,125.62501005,61.87500495
96.0,126.87501015,61.87500495
90.0,129.37501035,61.87500495
103.0,-151.45834545,61.45833825
89.0,-151.04167875,61.45833825
89.0,-150.62501205,61.45833825
213.0,-150.20834535,61.45833825
63.0,-134.37501075,61.45833825
33.0,-133.12501065,61.45833825
203.0,87.29167365,61.45833825
36.0,95.62500765,61.45833825
77.0,96.04167435,61.45833825
145.0,113.54167575,61.45833825
203.0,113.95834245,61.45833825
83.0,121.04167635,61.45833825
65.0,126.04167675,61.45833825
85.0,126.45834345,61.45833825
59.0,130.20834375,61.45833825
117.0,-151.87501215,61.04167155
