LandCover_4_Mixedtrees,x,y
80.0,-148.54167855,64.79167185
33.0,-148.12501185,64.79167185
29.0,-146.87501175,64.79167185
89.0,-153.12501225,64.37500515
86.0,-153.12501225,63.95833845
0.0,121.45834305,63.95833845
41.0,125.20834335,63.95833845
0.0,127.29167685,63.95833845
80.0,-153.54167895,63.54167175
37.0,-137.29167765,63.54167175
8.0,-134.79167745,63.54167175
15.0,-134.37501075,63.54167175
80.0,-133.95834405,63.54167175
29.0,-133.54167735,63.54167175
30.0,119.37500955,63.54167175
0.0,119.79167625,63.54167175
8.0,-137.29167765,63.12500505
52.0,-133.95834405,63.12500505
10.0,-132.70834395,63.12500505
37.0,93.95834085,63.12500505
26.0,94.37500755,63.12500505
65.0,95.62500765,63.12500505
0.0,96.04167435,63.12500505
0.0,117.70834275,63.12500505
33.0,118.12500945,63.12500505
25.0,119.37500955,63.12500505
0.0,119.79167625,63.12500505
33.0,120.62500965,63.12500505
0.0,130.62501045,63.12500505
46.0,-150.20834535,62.70833835
0.0,-148.12501185,62.70833835
36.0,-138.54167775,62.70833835
48.0,86.04167355,62.70833835
17.0,86.45834025,62.70833835
47.0,95.62500765,62.70833835
47.0,96.04167435,62.70833835
0.0,118.12500945,62.70833835
0.0,118.54167615,62.70833835
26.0,119.37500955,62.70833835
0.0,121.87500975,62.70833835
0.0,129.37501035,62.70833835
15.0,130.62501045,62.70833835
87.0,-150.20834535,62.29167165
15.0,-134.79167745,62.29167165
74.0,-133.54167735,62.29167165
0.0,-115.20834255,62.29167165
0.0,17.70833475,62.29167165
0.0,85.62500685,62.29167165
50.0,93.12500745,62.29167165
47.0,93.54167415,62.29167165
54.0,93.95834085,62.29167165
48.0,94.37500755,62.29167165
65.0,96.04167435,62.29167165
47.0,96.87500775,62.29167165
0.0,113.95834245,62.29167165
0.0,114.37500915,62.29167165
0.0,114.79167585,62.29167165
18.0,117.70834275,62.29167165
6.0,118.12500945,62.29167165
0.0,118.54167615,62.29167165
33.0,119.79167625,62.29167165
0.0,126.04167675,62.29167165
15.0,126.45834345,62.29167165
0.0,126.87501015,62.29167165
0.0,128.54167695,62.29167165
15.0,129.37501035,62.29167165
33.0,129.79167705,62.29167165
0.0,130.62501045,62.29167165
0.0,131.04167715,62.29167165
